Precinct,Cnt_Precin,Sum_Total_,Sum_White,Sum_Black,Sum_Hispan
0,9107,11241470,8326912,957142,1235229
1,34,73428,51658,1802,4956
5,35,52118,11221,2682,5898
6,48,61397,49538,1302,3524
7,37,54851,13334,3960,18327
9,49,75570,39999,5648,17454
10,36,55168,31997,4820,9277
13,63,94783,63810,4100,10109
14,20,22298,11702,1142,2868
17,65,74329,53084,1598,4816
18,45,56458,33211,2672,9500
19,161,210572,163474,3924,19507
20,73,103160,77140,2998,9595
22,1,4,0,2,1
23,45,77733,12715,19647,36005
24,74,106820,60570,9305,24615
25,35,51398,5104,19980,22971
26,32,47763,18784,9775,11024
28,32,54365,11687,27025,11151
30,32,67163,11231,16870,33928
32,43,80625,7203,48657,20540
33,47,84647,10490,9226,60641
34,73,127145,29629,6389,86069
40,72,97771,2009,28235,65788
41,46,55728,560,13665,40543
42,58,89770,1038,33081,54023
43,145,181634,4600,54496,105753
44,108,150333,2566,43491,98751
45,97,124284,33804,28941,51984
46,104,134344,2012,36517,92234
47,144,163027,10326,105125,38929
48,66,86095,6222,21436,56606
49,100,118864,27967,24675,54941
50,87,106385,36836,12240,50023
52,113,147840,8556,23029,104972
60,74,101323,57271,12695,16433
61,130,165627,109308,5990,16826
62,146,194387,83698,2005,27801
63,96,121402,44447,55800,11411
66,143,195711,125890,4652,25366
67,127,158358,3947,136830,12184
68,114,127932,70217,2124,20356
69,56,90291,4325,75795,6045
70,110,160484,62453,51707,25916
71,73,105607,25312,65946,9587
72,96,128665,32153,3238,56731
73,80,89268,2478,64828,19348
75,141,187162,6586,103494,65445
76,50,50023,28309,6350,10784
77,70,92818,19968,53767,11741
78,73,76100,50245,5449,10593
79,68,90160,23987,41019,19630
81,68,75129,8182,51129,11618
83,92,118348,19535,22278,67865
84,48,56320,34633,5831,6452
88,55,60765,20042,23683,9379
90,91,123703,69288,7765,36833
94,56,65538,45245,3013,10021
100,35,49294,26058,10360,9359
101,38,72901,16297,32853,20652
102,107,155502,27672,8719,65478
103,76,112850,2686,44182,28478
104,148,181598,94554,2308,66325
105,179,206717,23439,113907,25407
106,98,138398,30366,20377,35596
107,115,164732,50515,18367,32051
108,84,120219,35650,1667,41391
109,175,249167,63642,5270,43570
110,95,170615,11229,11043,86521
111,112,122580,50020,2294,13936
112,91,116607,56706,3291,18382
113,100,132153,1448,106483,12247
114,155,198580,89519,17475,51996
115,104,165906,17738,8688,107392
120,86,111562,43985,24541,31045
121,76,123096,61488,14774,28120
122,93,137849,102714,4439,17651
123,54,103441,87329,846,9724
