"","Precinct","Race","Race_Int","Eth_Pop_In_Precinct","Occurrences","Y_Pred_M3","Y_Pred_M4","Y_Pred_M5"
"1",1,"W",1,51658,1,0,1,0
"2",1,"B",2,1802,3,6,2,4
"3",1,"Q",3,4956,0,1,0,0
"4",5,"W",1,11221,8,6,5,10
"5",5,"B",2,2682,13,18,11,10
"6",5,"Q",3,5898,5,3,4,4
"7",6,"W",1,49538,0,0,0,0
"8",6,"B",2,1302,2,2,3,1
"9",6,"Q",3,3524,0,0,0,0
"10",7,"W",1,13334,0,0,0,0
"11",7,"B",2,3960,0,0,1,0
"12",7,"Q",3,18327,0,0,0,1
"13",9,"W",1,39999,1,4,1,0
"14",9,"B",2,5648,2,1,1,1
"15",9,"Q",3,17454,5,6,4,2
"16",10,"W",1,31997,0,0,0,0
"17",10,"B",2,4820,0,0,0,1
"18",10,"Q",3,9277,0,0,0,0
"19",13,"W",1,63810,2,0,0,1
"20",13,"B",2,4100,0,1,0,1
"21",13,"Q",3,10109,0,0,1,0
"22",14,"W",1,11702,0,0,0,0
"23",14,"B",2,1142,0,0,0,0
"24",14,"Q",3,2868,0,0,0,0
"25",17,"W",1,53084,0,0,1,0
"26",17,"B",2,1598,7,3,9,3
"27",17,"Q",3,4816,0,0,0,0
"28",18,"W",1,33211,1,1,1,1
"29",18,"B",2,2672,2,1,2,2
"30",18,"Q",3,9500,0,0,0,0
"31",19,"W",1,163474,0,0,0,0
"32",19,"B",2,3924,0,0,2,0
"33",19,"Q",3,19507,0,0,0,0
"34",20,"W",1,77140,1,0,0,0
"35",20,"B",2,2998,0,0,0,0
"36",20,"Q",3,9595,0,0,0,0
"43",24,"W",1,60570,2,2,2,1
"44",24,"B",2,9305,35,23,34,34
"45",24,"Q",3,24615,4,7,3,3
"64",34,"W",1,29629,0,1,0,0
"65",34,"B",2,6389,1,1,1,0
"66",34,"Q",3,86069,4,2,5,1
"106",61,"W",1,109308,1,1,0,0
"107",61,"B",2,5990,11,12,11,6
"108",61,"Q",3,16826,1,0,3,0
"109",62,"W",1,83698,1,0,0,2
"110",62,"B",2,2005,0,0,1,0
"111",62,"Q",3,27801,0,0,0,0
"115",66,"W",1,125890,0,0,1,0
"116",66,"B",2,4652,14,15,15,13
"117",66,"Q",3,25366,6,11,5,4
"121",68,"W",1,70217,0,0,0,0
"122",68,"B",2,2124,0,0,0,0
"123",68,"Q",3,20356,0,0,0,0
"133",72,"W",1,32153,0,0,0,0
"134",72,"B",2,3238,2,1,0,1
"135",72,"Q",3,56731,0,1,1,0
"148",78,"W",1,50245,0,0,1,0
"149",78,"B",2,5449,11,10,9,7
"150",78,"Q",3,10593,3,1,2,2
"166",90,"W",1,69288,0,2,1,0
"167",90,"B",2,7765,8,13,8,8
"168",90,"Q",3,36833,5,6,6,0
"169",94,"W",1,45245,0,0,0,0
"170",94,"B",2,3013,0,0,0,0
"171",94,"Q",3,10021,0,0,0,0
"178",102,"W",1,27672,5,4,6,7
"179",102,"B",2,8719,10,13,11,7
"180",102,"Q",3,65478,22,24,21,29
"184",104,"W",1,94554,5,4,2,5
"185",104,"B",2,2308,4,2,2,5
"186",104,"Q",3,66325,5,2,6,5
"196",108,"W",1,35650,2,1,0,1
"197",108,"B",2,1667,2,3,4,2
"198",108,"Q",3,41391,0,0,0,0
"199",109,"W",1,63642,1,1,2,0
"200",109,"B",2,5270,11,9,9,14
"201",109,"Q",3,43570,14,10,18,11
"202",110,"W",1,11229,2,0,1,1
"203",110,"B",2,11043,4,2,7,5
"204",110,"Q",3,86521,17,20,14,15
"205",111,"W",1,50020,0,1,0,0
"206",111,"B",2,2294,0,0,1,0
"207",111,"Q",3,13936,0,0,0,0
"208",112,"W",1,56706,4,2,3,4
"209",112,"B",2,3291,1,2,0,0
"210",112,"Q",3,18382,0,0,0,0
"214",114,"W",1,89519,1,0,1,0
"215",114,"B",2,17475,10,6,7,15
"216",114,"Q",3,51996,0,0,0,0
"217",115,"W",1,17738,1,1,0,0
"218",115,"B",2,8688,3,4,4,1
"219",115,"Q",3,107392,24,23,11,34
"226",122,"W",1,102714,11,14,7,13
"227",122,"B",2,4439,8,8,11,8
"228",122,"Q",3,17651,6,5,5,6
"229",123,"W",1,87329,0,0,0,0
"230",123,"B",2,846,0,0,0,0
"231",123,"Q",3,9724,0,0,0,0
